ar,
bg,
bn,
bs,
ca,
cs,
da,
de,Warnung: Verwenden Sie es nicht in einer Produktionsumgebung!
el,
es,
et,
fa,
fi,
fr,Attention : ne l\'utilisez pas dans un environnement de production !
gl,
he,
hu,
id,
it,
ja,
ka,
ko,
lt,
ms,
nl,
no,
pl,
pt-br,
pt,
ro,
ru,
sk,
sl,
sr,
sv,
ta,
th,
tr,
uk,
vi,
zh,
zh-tw,
